[Sun Sep 08 20:26:09.204075 2019] [php7:error] [pid 4304:tid 1828] [client 127.0.0.1:49673] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\symfony\\translation-contracts\\LocaleAwareInterface.php on line 14, referer: http://localhost.shivam.com/home
[Tue Sep 10 09:17:29.442663 2019] [php7:warn] [pid 8956:tid 1808] [client 127.0.0.1:50329] PHP Warning:  require(F:\\xampp\\htdocs\\shivam\\public/../vendor/autoload.php): failed to open stream: No such file or directory in F:\\xampp\\htdocs\\shivam\\public\\index.php on line 24
[Tue Sep 10 09:17:29.442663 2019] [php7:error] [pid 8956:tid 1808] [client 127.0.0.1:50329] PHP Fatal error:  require(): Failed opening required 'F:\\xampp\\htdocs\\shivam\\public/../vendor/autoload.php' (include_path='F:\\xampp\\php\\PEAR') in F:\\xampp\\htdocs\\shivam\\public\\index.php on line 24
[Tue Sep 10 10:13:33.153463 2019] [php7:error] [pid 8956:tid 1808] [client 127.0.0.1:50508] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\laravel\\framework\\src\\Illuminate\\Support\\Arr.php on line 9, referer: http://localhost.shivam.com/login
[Tue Sep 10 10:13:35.167221 2019] [php7:error] [pid 8956:tid 1836] [client 127.0.0.1:50507] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\phpoption\\phpoption\\src\\PhpOption\\None.php on line 23, referer: http://localhost.shivam.com/login
[Tue Sep 10 10:13:40.678513 2019] [php7:error] [pid 8956:tid 1784] [client 127.0.0.1:50511] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\laravel\\framework\\src\\Illuminate\\Contracts\\Pipeline\\Pipeline.php on line 7, referer: http://localhost.shivam.com/login
[Tue Sep 10 10:13:41.051796 2019] [php7:error] [pid 8956:tid 1796] [client 127.0.0.1:50509] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\RouteCompiler.php on line 7, referer: http://localhost.shivam.com/login
[Tue Sep 10 10:13:41.051796 2019] [php7:error] [pid 8956:tid 1800] [client 127.0.0.1:50510] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\RouteCompiler.php on line 7, referer: http://localhost.shivam.com/login
[Sat Sep 14 18:12:38.880987 2019] [autoindex:error] [pid 1552:tid 1852] [client 127.0.0.1:57001] AH01276: Cannot serve directory F:/xampp/htdocs/shivam/public/assets/: No matching DirectoryIndex (index.php,index.pl,index.cgi,index.asp,index.shtml,index.html,index.htm,default.php,default.pl,default.cgi,default.asp,default.shtml,default.html,default.htm,home.php,home.pl,home.cgi,home.asp,home.shtml,home.html,home.htm) found, and server-generated directory index forbidden by Options directive
[Sat Sep 21 17:33:55.323012 2019] [php7:error] [pid 5972:tid 1804] [client ::1:52596] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\phpMyAdmin\\libraries\\classes\\Twig\\CoreExtension.php on line 18
[Sun Sep 22 15:10:25.094165 2019] [php7:error] [pid 9320:tid 1836] [client 127.0.0.1:61182] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Http\\Events\\RequestHandled.php on line 5, referer: http://localhost.shivam.com/salary
[Sun Sep 29 08:41:04.899531 2019] [php7:error] [pid 10332:tid 1832] [client 127.0.0.1:55373] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in F:\\xampp\\htdocs\\shivam\\app\\Http\\Middleware\\CheckForMaintenanceMode.php on line 7, referer: http://localhost.shivam.com/work/20/edit
